sources,ACH1,ACH2,aci1,ACI1,ACI10,ACI11,aci2,ACI2,ACI3,ACI4,ACI5,ACI6,ACI7,ACI8,ACI9,ADV1,ART1,ART2,ART3,ART4,ART5,ART6,ART7,ART8,ART9,BAC1,BAC2,BAC3,BAC4,BAC5,BAC6,BAC7,BAC8,BOR1,BRE1,BRE2,BUR1,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CUP1,CUP2,CUP3,CUR1,DEL1,DEL2,DYE1,EMP1,EMP2,ENS1,ENT1,ENT2,ENT3,ESC1,FAL1,FIC1,FLA1,FLA2,FLA3,FLA4,FLA5,FLA6,HER1,KLE1,KLE2,KLE3,KOS1,KOS2,LYS1,LYS2,MIC1,MIC2,MIC3,MIC4,OCH1,OCH2,PAE1,PAE2,PAE3,PAE4,PAE5,PAE6,par1,PAR1,PAR2,PRO1,PRO2,PSE1,PSE10,PSE11,PSE12,PSE13,PSE14,PSE15,PSE2,PSE3,PSE4,PSE5,PSE6,PSE7,PSE8,PSE9,RAL1,RAL2,RAL3,RAL4,RAL5,RAO1,RHO1,SIN1,SPH1,SPH2,SPH3,SPH4,STA1,STE1,STE2,STE3,VAR1
L-Glutamine,0.375375,0.368225,0.45365,0.383625,0.274925,0.293325,0.315699996,0.2184,0.25825,0.42035,0.2908,0.288725,0.463875,0.481125,0.43325,0.377975,0.1106,0.4099,0.2027,0.1226,0.21635,0.297075,0.113375,0.3132,0.276025,0.082725,0.40065,0.1056,0.3586,0.005424999,0.2205,0.2401,0.209075,0.255775,0.167799999,0.257125,0.378875,0.0241,0.13645,0.01235,0.069583333,0.2364,0.165025,0.522125,0.514275,0.0669,0.225366667,0.230675,0.27955,0,0.2264,0,0.3248,0.290775,0.23525,0.182474998,0.210675,0.238600003,0.1839,0.258625,0.277200001,0.1433,0.060625,0,0.011558333,0.326575,0.14225,0.260425,0.26685,0.330825001,0.086975,0.273225,0.31045,0.104225,0.06025,0.12255,0.1218,0.178575,0.230375,0.1719,0,0.04475,0.131175,0.224975,0.09445,0.21635,0.29295,0.306175,0.24455,0.287275,0.338375,0.185,0.343099998,0.269208333,0.080324993,0.214075,0.14405,0.304100002,0.2892,0.222325,0.24075,0.331725,0.246900001,0.338625,0.2764,0.2918,0.1395,0.572825004,0.156025,0.397075009,0.319450003,0.247525,0.436141669,0.304875,0,0.286075,0.286300004,0.031725,0.2561,0.040224999,0.382825003,0.553274997
L-Histidine,0.340675,0.39685,0.434425,0.4288,0.279725,0.32365,0.1052,0.279625,0.1802,0.3753,0.36285,0.336025,0.411175,0.41025,0.381275,0.431175,0.161575,0.349275,0.325375,0.111725,0.259925,0.259275,0.232025,0.202175,0.391925,0.116675,0.253275,0.100425,0.1536,0.120800001,0.181075,0.07305,0.116725,0.083675,0.01705,0.308925,0.366874997,0,0.015075,0,0.002475,0.3531,0.005025,0.2447,0.3248,0.063924998,0.0302,0.232925,0.25175,0.135375,0.054225,0,0.272675,0.186325,0.196975,0.188399998,0.335925,0,7.00E-04,0.033525,0.077049999,0.088825,0.012775,0.073699999,0.049900002,0.254308333,0.33835,0.2364,0.23345,0.189975002,0.049075,0.035991667,0.17805,0.09715,0.07705,0.12635,0,0.1196,0.19495,0.127025,0,0.0853,0.03065,0.084775,0.33785,0.19895,0.254325,0.2634,0.177850002,0.227975,0.037075,0.222675,0.377000001,0.249825,0.088424995,0.224025,0.09255,0.324374999,0.2742,0.23445,0.2098,0.25705,0.256700001,0.3265,0.2597,0.238875,0.007025,0.242775003,0.19505,0.065575,0.297800001,0.389525,0.367250002,0.179825,0.063525,0.320525,0.417616667,0,0.135,0.077199998,0.377774997,0.03525
L-Homoserine,0,0,0.0768,0,0,0,0,9.00E-04,0,0,0,0,0.021525,0,0,0,0.132125,0.384425,0.008725,0,0.405275,0.1642,0.189775,0.25265,0.0715,0,0.1318,0.0496,0,0.001224999,0.220825,0,0,0,0.013425,0,0.0541,0,0,0,0.005525,0,0,0,0,0,0,0,0,0,0,0,0.013525,0,0,0,0,0,0,0,0.025775,0.0063,0,0,0.003574998,0,0.018875,0.013925,0.00655,0.01295,0,0,0.04945,0,0.028625,0,0,0.018825,0,0.025025,0,0,0,0,0,0.08085,0,0,0,0,0,0,0.006849998,0.1898,0,0,0.062575,0.073550001,0.01705,0,0.0641,0,0,0.0388,0,0.19695,0,0.018575,0,0,0,0.0014,0,0,0.015749999,0,0,0,0.00745,0,0,0
Isoleucine,0.03465,0.494625,0.53355,0.105225,0,0.2369,0.099874998,0.3375,0.22165,0.303775,0.297925,0.008,0.094825,0.17615,0.1542,0.46915,0.02395,0.071375,0.05675,0,0,0.004025,0,0.062325,0.108975,0,0.0341,0,0.00445,0.008699999,0,0,0,0.037275,0.036025,0.021775,0.481075,0,0,0,0.002825,0.04015,0,0.240475,0.629925,0.066524994,0,0.183625,0.1895,0,0.065725,0,0.1093,0,0.002725,0,0.00895,0,0,0.02415,0.063500001,0.021725,0.01605,0.030250001,0.039375,0.115175,0.044575,0.0427,0.0358,0.0768,0.00315,0.0087,0.00395,0,0.0235,0.02985,0.03435,0.026125,0.117475,0.035725,0,0.05205,0.05085,0.017075,0,0.100125,0.07155,0.082175,0,0,0.49285,0,0.467350002,0.2056,0.003550001,0.43165,0.0962,0.140924997,0.0392,0.3141,0.140725,0.521525,0.328074998,0.42305,0.47545,0.081425,0,0.238249997,0.018825,0.213150002,0.031824999,0.085675,0.113999999,0.028975,0,0.32415,0.084375001,0,0.020225,0.018874999,0.360908333,0
L-Leucine,0.196075,0.400325,0.485775,0.402075,0.2177,0.445725,0.051674997,0.445925,0.125625,0.42585,0.3706,0.241225,0.395575,0.438375,0.43295,0.3902,0.034575,0.0578,0.121525,0.03875,0.017375,0.06755,0,0.080125,0.083575,0,0.048975,0.018975,0.031375,0.109274999,0.0336,0,0.0044,0.0536,0.034199998,0.31465,0.222399996,0,0,0,0.022825,0.111475,0,0.3849,0.692225,0.088725001,0.00835,0.4613,0.423925,0,0.125775,0,0.196225,0,0.0125,0,0.227075,0,0.006375,0.028975,0.028475,0.0161,0.00875,0.041099999,0.078575,0.200775,0.02845,0.02785,0.0179,0.02515,0,0.01905,0.0191,0.02525,0.016325,0.052675,0.01305,0.056,0.053325,0.055,0,0.014175,0.083175,0.0178,0.0425,0.129525,0.419225,0.09705,0,0.2034,0.44945,0.38965,0.439550002,0.111525,0.010699999,0.399175,0.1304,0.123525001,0.06995,0.34525,0.123575,0.391225,0.206425002,0.400875,0.464625,0.234025,0.06035,0.459725,0.002725,0.250850007,0,0.06785,0.067825,0.016875,0,0.3706,0.039549996,0.0429,0.008725,0.035400001,0.241425002,0
L-Lysine,0.35055,0.32295,0.335825,0.304675,0.30685,0.31335,0.0126,0.281825,0.287625,0.301725,0.295175,0.290225,0.293475,0.328725,0.31565,0.324675,0.22775,0.40285,0.1242,0,0.15015,0.388175,0.0491,0.31155,0.4283,0,0.093875,0.050275,0.103025,0.053775001,0.3536,0.0144,0.01355,0.080025,0.057799999,0,0.424524999,0,0,0,0.0028,0,0,0.007925,0.05505,0.024374999,0,0,0,0,0,0,0.25535,0,0.02395,0,0,0,0.012975,0.067775,0.073799998,0.0474,0.0182,0.077550001,0.065450001,0.010475,0.030825,0.0471,0.0338,0.052424997,0,0.017925,0.119225,0,0.0385,0,0,0.070325,0.162975,0.091075,0,0,0.002575,0,0,0.137025,0.081075,0.226725,0,0,0.057975,0,0.297899998,0.076775,0.063974996,0.194075,0.087,0.061150001,0.038225,0.122225,0.02815,0.10025,0.052474999,0.2865,0.192225,0,0.014,0.070125,0.044475,0.090350004,0.005300003,0.1315,0.114449997,0,0.004274998,0.114475,0.029849998,0,0.017825,0.020525001,0.215050001,0
Malic acid,0.241075,0.253975,0.350375,0.294325,0.2223,0.28275,0.263824998,0.19725,0.1512,0.31115,0.27045,0.214125,0.330925,0.3101,0.330475,0.28505,0.3208,0.24375,0.2119,0.14595,0.282525,0.17135,0.17855,0.176175,0.28245,0.013825,0.248575,0.04625,0.010175,0.022275,0.097125,0.085775,0.08155,0.252875,0.028900001,0.217575,0.03085,0,0.01115,0,0.0263,0.2633,0.0344,0.431725,0.02145,0.043650002,0.180275,0.191275,0.18185,0.073475,0.3131,0.245975,0.2218,0.147125,0.123675,0.07335,0.24005,0.262674998,0.137125,0.099675,0.119524999,0.02465,0.0787,0.069500001,0.079100001,0.31315,0.249925,0.1901,0.166,0.207225001,0.0375,0.08805,0.254525,0.112225,0.0908,0.1205,0.126725,0.21575,0.2248,0.263325,0.087125,0.2961,0.2781,0.28845,0.224775,0.317875,0.291625,0.260775,0.139375,0.213275,0.244475,0.171425,0.263325,0.17025,0.082024999,0.1736,0.3359,0.189825005,0.16435,0.18485,0.124225,0.196875,0.210874997,0.2295,0.25075,0.242825,0.029075,0.494824999,0.17195,0.206050002,0.1795,0.270825,0.277849999,0.241325,0,0.2253,0.213050002,0.2639,0.199225,0.078050001,0.240950002,0.013833328
L-Methionine,0,0,0.008825,0,0.00235,0,0.002675001,0.00565,0,0.006275,0,0,0.00715,0.011025,0,0,0,0,0.0481,0.005025,0.001675,0,0,0,0.0092,0,0,0,0,0.01415,0,0,0.0055,0,0.0067,0,0.032625002,0,0,0,0,0,0,0.015525,0.060975,0,0,0.0083,0,0,0,0,0.012075,0,0,0,0,0,0,0,0.005625002,0.005725,0.0025,0,0.000750001,0.00305,0.039475,0.02125,0.019025,0.026199999,0,0.002575,0,0,0.004225,0,0,0.0257,0,0.03565,0,0.021125,0,0,0,0.040475,0,0,0,0,0,0,0,0,0,0.057325,0.083175,0,0.01685,0.00275,0,0,0.006225002,0,0,0,0,0.064775005,0,0.118300002,0.002649999,0.072875,0.012025,0,0,0,0,0,0.00085,0,0.034300001,0
L-Ornithine,0.26695,0.287875,0.2852,0.346525,0.225975,0.3148,0,0.282375,0.21075,0.36055,0.22975,0.24075,0.378175,0.3757,0.386275,0.26035,0,0.14645,0.03215,0,0.044075,0.001425,0,0,0.02185,0.12785,0.26715,0,0,0.011424999,0.19305,0.07845,0.149175,0.009575,0.160325002,0.00365,0.35605,0.0067,0.04155,0.00295,0.088325,0.1303,0.04375,0.02235,0.1088,0.033499994,0,0,0,0.085225,0.0411,0,0.33535,0.22905,0.033675,0.015249998,0.048875,0,0.01095,0.237025,0.216049999,0.15085,0.149,0.00135,0.089175,0.0146,0.07155,0.0649,0.067775,0.119449999,0.021925,0.041325,0.247925,0.136475,0.0538,0.039225,0.11265,0.112925,0.242725,0.1404,0,0,0.026225,0,0,0.16565,0.1201,0.1838,0,0,0.2423,0.073925,0.306350001,0.04535,0.062749997,0.172725,0.0696,0.044274996,0.075725,0.168475,0,0.0856,0.28415,0.2734,0.083575,0.2444,0.0676,0.159825002,0.00105,0.258149997,0.111374998,0.0943,0.054724999,0,0,0,0.085849999,0,0.03005,0.038700001,0.33935,0.087049995
L-Phenyalanine,0.800975,0.721625,0.699,0.694,0.56095,0.65025,0.194424999,0.551825,0.123575,0.672525,0.65665,0.655275,0.7185,0.71855,0.694125,0.682075,0.179875,0.299025,0.681225,0.423425,0.24345,0.506675,0.22225,0.3041,0.20345,0,0.141475,0.09655,0.000925,0.048175,0.081125,0.006,0,0.214025,0.057050001,0.663575,0.620350004,0.015725,0.018825,0.0037,0.041975,0.61165,0.022225,0.594675,0.57775,0.075149998,0,0.47145,0.443175,0,0.16295,0,0.035575,0.03105,0.445175,0.020074999,0.659925,0,0.006075,0.051025,0.04435,0.016175,0.033175,0,0.034250001,0.185625,0.0757,0.088075,0.08805,0.039850001,0,0.022425,0.004825,0.035475,0.0206,0.081025,0,0.016875,0,0.0651,0,0,0.076875,0.0222,0.59025,0.039625,0.568325,0.733075,0,0,0.0313,0.045275,0.244750001,0.072975,0.046100002,0.11455,0.1128,0.159050004,0.124775,0.069875,0.06105,0.142475,0.061825004,0.40395,0.142225,0.4194,0.083975,0.476825001,0.08835,0.2355,0.083550003,0.053025,0.285350003,0.002425,0.005525001,0.051375,0,0.051475,0.026325,0,0.139999996,0
L-Proline,0.38195,0.39385,0.42225,0.5013,0.296175,0.339475,0.380125001,0.357575,0.262475,0.47515,0.40455,0.42795,0.487625,0.485725,0.4845,0.407525,0.190825,0.201125,0.4222,0.20595,0.166825,0.07025,0.2989,0.244875,0.230875,0.0848,0.27845,0.03285,0.074675,0.005375001,0.17185,0.22915,0.1554,0.324175,0.081974999,0.3869,0.354975003,0.013,0.096175,0.0319,0.09815,0.38675,0.076275,0.19365,0.297525,0.035949997,0,0.242275,0.314525,0.165175,0.14395,0,0.39765,0.317375,0.257125,0.144174997,0.38555,0.0331,0.0089,0.1514,0.1831,0.11125,0.06505,0.020674999,0.135624998,0.146825,0.347375,0.330125,0.3102,0.406799998,0.1385,0.150925,0.206225,0.059225,0.045775,0.0466,0,0.1344,0.26955,0.141775,0,0,0.22495,0,0.365225,0.2056,0.33155,0.374525,0.267000001,0.318575,0.406275,0.20195,0.3679,0.29415,0.066500001,0.25425,0.0885,0.383899999,0.3789,0.2411,0.240725,0.3159,0.399000004,0.333825,0.39325,0.296775,0.071025,0.4058,0.02395,0.193375006,0.321775,0.09085,0.288724999,0.021175,0,0.400025,0.103875,0.000525,0.162525,0.095083332,0.458350002,0
L-Pyroglutamic acid,0.387125,0.384475,0.445225,0.4258,0.265125,0.38855,0.195450001,0.259775,0.212425,0.417575,0.392025,0.351875,0.440675,0.437975,0.461375,0.403325,0.185425,0.39385,0.337825,0.160025,0.16685,0.245975,0.207025,0.2171,0.258175,0.05225,0.31765,0.0196,0.02905,0.049399998,0.12315,0.026475,0.059925,0.25785,0.004125,0.122625,0.400425,0,0,0,0.013325,0.290375,0.00045,0.5294,0.5388,0.051324997,0.009575,0.180125,0.254325,0.0113,0.203825,0,0.046925,0.028075,0.259475,0.022824999,0.34645,0,0.012,0.04175,0.035650001,0.015225,0.011025,0,0.039224998,0.23825,0.0838,0.063,0.0516,0.061925001,0,0.027425,0,0.016225,0.05005,0.037225,0,0.1334,0.0434,0.0956,0.11655,0.0342,0.0643,0,0.0368,0.090725,0.303975,0.30025,0.237075001,0.357775,0.324,0.148925,0.352550001,0.266,0.051175002,0.196975,0.0873,0.286324996,0.05565,0.18505,0.2028,0.28455,0.284249999,0.337675,0.310975,0.295275,0.054725,0.542225,0.0188,0.198950006,0.0619,0.12435,0.477899998,0.040066667,0,0.306525,0,0,0.061725,0.010525002,0.384625,0
L-Rhamnose monohydrate,0,0,0.03205,0.005325,0.018325,0,0.029574999,0,0,0.032025,0,0,0.022075,0.031475,0.02985,0,0.073975,0,0.11525,0,0.019525,0,0.293775,0.15725,0.22755,0,0.027825,0,0.010975,0.057733333,0.019825,0.003625,0.001775,0.02035,0,0,0.008425,0,0,0.026975,0.067925,0.00225,0.0021,0,0.06295,0,0,0,0,0,0,0,0.467125,0.082275,0.106225,0,0.009375,0,0.1904,0.359825,0.244725001,0.183975,0.101675,0.00935,0.117699999,0.023025,0.2573,0.220475,0.21105,0.286500002,0.1215,0.03655,0.29465,0,0.0453,0.12895,0.0406,0.154475,0.360475,0.1803,0,0.091125,0.0119,0,0.017225,0.196225,0.0051,0.038225,0,0.3106,0.283425,0.2967,0,0.3913,0.043274995,0,0.114375,0,0.214275,0.323775,0,0,0.004950002,0,0.013325,0,0.029025,0.069550001,0.0193,0.1162,0.252324998,0.0889,0.286199998,0.0189,0.045824997,0.0152,0.1384,0.01565,0.01875,0.085575,0.270099999,0.093225001
L-Serine,0.149875,0.098725,0.134325,0.11775,0.078525,0.113725,0.075700003,0,0.137425,0.17725,0.116225,0.024,0.1254,0.195225,0.1683,0.120075,0.070525,0.150725,0.16115,0.064725,0.234275,0.153775,0.1316,0.09165,0.1094,0.047375,0.213975,0.008825,0.102175,0.069099998,0.11565,0,0.109625,0.058175,0.0781,0.053325,0.273474998,0.044525,0.067,0.0149,0.046825,0.08415,0.046925,0.31545,0.404375,0.033775002,0.019575,0,0,0,0,0,0.19095,0.053925,0.053275,0.097225002,0,0,0.10895,0.097575,0.115275001,0.05615,0,0.037699999,0.080075,0.0264,0.1305,0.166225,0.13785,0.2078,0.039025,0.07095,0.140625,0.0245,0.040525,0.0815,0,0.206875,0.109225,0.151275,0,0,0.069875,0,0,0.159275,0.230575,0.490266667,0.086700001,0.08825,0.1842,0.147425,0.155425,0.075325,0.093474999,0.0656,0.0699,0.14625,0.159775,0.03215,0.018975,0.188925,0.127650001,0.13715,0.137225,0.1729,0.0373,0.353850006,0,0.169999998,0.161949998,0,0.226849998,0,0,0.117075,0.079525,0,0.112575,0,0.162074999,0
L-Threonine,0,0.00845,0.032825,0.00645,0,0,0.051,0.027225,0,0.029075,0,0,0.023925,8.00E-04,0,0.142775,0.1704,0.21125,0.1732,0,0.1429,0.141575,0.1829,0.200325,0.19725,0,0.10465,0.02025,0,0.032299999,0.102675,0.0215,0,0.007025,0.090325001,0,0.450475,0,0.005975,0,0.032475,0.001525,0.00725,0.318125,0.35375,0.004875001,0,0.0082,0.05025,0,0,0,0.19475,0.05375,0.0177,0.009725001,0,0,0.00935,0.03215,0.070375002,0.01215,0,0,0.121500002,0.006575,0.087575,0.108825,0.086,0.113125,0.010125,0.005325,0,0,0.03775,0.04715,0,0.1281,0.033025,0.125575,0,0,0.0028,0,0,0.102925,0.1751,0.335,0,0,0,0,0.076575003,0,0.056074999,0.009,0.070825,0.024249999,0.10235,0,0,0,0.033949997,0.11235,0.030975,0.29105,0.0413,0.362324997,0.000275,0.207925003,0.096975,0.119075,0.015074998,0.006025,0.037825,0,0.015099998,0,0.077825,0,0.088475,0
L-Tryptophan,0.518175,0.431475,0.5007,0.441675,0.241275,0.57875,0.038775001,0.359625,0,0.5286,0.48155,0.098275,0.605975,0.518225,0.442475,0.34785,0.292625,0.151825,0.2204,0.099425,0.049875,0.0106,0,0.0056,0.08285,0,0,0.016975,0,0.048425,0,0,0.01725,0.06355,0,0.262475,0.513175,0,0.009175,0,0.0214,0.127425,0.003975,0.130275,0.3115,0.082875009,0,0.368825,0.191175,0,0.03485,0.004475,0.0865,0.016875,0.066025,0,0.357075,0,0.018525,0,0.032425002,0.005575,0.00415,0.021875001,0.038925001,0.087475,0.04335,0.048525,0.052075,0.056850001,0,0.02035,0,0.011575,0.043625,0.010325,0.0098,0.057575,0.000325,0.0675,0.01705,0.025575,0.022925,0,0.218675,0.087375,0.20745,0.326425,0.619249997,0.575075,0,0.3067,0,0,0.018200003,0,0.1348,0,0.42865,0.20175,0,0,0.0925,0.000175,0,0.423725,0.1042,0.254900004,0.07205,0.292774993,0.067625,0.141825,0.139725001,0.01665,0.006075003,0,0,0.0147,0.04035,0,0.109175,0
L-Valine,0.2111,0.3335,0.327175,0.241875,0.378025,0.060475,0.028675,0.3239,0.302475,0.34825,0.327075,0.282825,0.188075,0.300025,0.221,0.346475,0.0183,0.048475,0.356025,0.10845,0,0.0225,0,0.040325,0.069575,0,0,0.002625,0,0.011375001,0,0,0,0.03645,0.035775,0.115625,0.0606,0,0,0,0.0113,0.001758333,0,0.267725,0.18485,0.024174995,0,0,0.00185,0,0.042925,0,0.04615,0,0,0,0.024875,0,0.003825,0.0363,0.012250001,0.013675,0.003675,0.001150003,0.033124999,0.0365,0.0269,0.0282,0.0197,0.036275001,0,0.017175,0,0,0.008525,0,0,0.04685,0.008225,0.0708,0,0,0,0,0,0.0928,0.008275,0.100625,0,0.188525,0.378775,0.292275,0.356924999,0.28905,0,0.200375,0.09255,0.36645,0.13465,0.1707,0.2055,0.2988,0.223750004,0.33005,0.2888,0.31485,0,0.255949999,0,0.18245,0,0.1084,0.004425001,0,0,0.251225,0.071149997,0,0,0,0.250724996,0.497824997
Lactic acid,0.0964,0.136275,0.22025,0.13065,0.1223,0.0974,0.227475002,0.099275,0.030775,0.18195,0.1081,0.120275,0.184075,0.16685,0.175575,0.1324,0,0.1489,0.090775,0.0441,0.14025,0.07945,0.0788,0.05015,0.2094,0.02935,0.1234,0.0875,0,0.009549999,0.067325,0.06485,0.048825,0.144725,0.008925002,0.0587,0.0848,0,0,0,0.008425,0.0878,0,0.264225,0.423975,0.049149994,0,0.026125,0.03315,0.03785,0.28675,0,0.1621,0.041475,0.02695,0.02225,0.075925,0.002675,0.070875,0.036875,0.084625,0.015975,0.02665,0,0.116325,0.052525,0.186825,0.18645,0.18645,0.165424996,0.0305,0.04075,0.215,0.020275,0.0935,0.09695,0.009175,0.1581,0.16325,0.17955,0,0,0.003775,0.003275,0.1016,0.29265,0.2152,0.298475,0,0.129675,0.2298,0.15635,0.21315,0.169425,0.052775003,0.05725,0.30075,0.160649998,0.165025,0.1178,0.098975,0.123675,0.1558,0.10845,0.14195,0.19285,0.0729,0.474249998,0.10265,0.222349994,0.172850002,0.192675,0.271749999,0.0667,0,0.12025,0.127450002,0.058275,0.16525,0.043649998,0.264075003,0.004874997
Sucrose,0,0,0.0355,0.00175,0.02115,0,0.041424999,0,0,0.035375,0,0,0.018175,0.011675,0.016125,0,0.7366,0.90545,0.427275,0.0046,0.724875,0.469375,0.76395,0.823125,0.724975,0.1358,0.652275,0.1056,0.359725,0.116808333,0.342375,0.359025,0.248825,0.475366667,0.095800002,0,0.8905,0.013275,0,0,0.0014,0,0.042125,0,0.598425,0,0.09165,0,0,0,0.137675,0,0.4996,0.528825,0.40365,0.218625002,0,0.670199999,0.578525,0.03145,0.720124999,0.013775,0.1103,0.049375,0.445599999,0.0443,0.59365,0.5676,0.57555,0.544225002,0.371825,0.368925,0.680425,0,0.11435,0.1904,0.119275,0.213575,0.341625,0.24415,0.193525,0.53415,0.0169,0.24655,0.21205,0.263425,0.44495,0.000125,0,0.544375,0,0.0519,0,0.570125,0.11115,0,0.076175,0.643199999,0.5504,0.617775,0.461325,0.10985,0.684275002,0,0.068,0.69145,0.004725,0.366599997,0.055125,0.099699998,0.602050002,0.17145,0.657724999,0.653625,0,0.752175,0.696925,0.1177,0.291,0.076299998,0.108625001,0.246949993
Maleic acid,0.1197,0.009675,0.007925,0,0.0209,0,0.030499999,0,0,0,0,0,0.026025,0.00565,0.0134,0.07195,0,0,0.16365,0.008825,0.300425,0.23775,0.127625,0,0.32785,0,0.2608,0.01545,0.005625,0.041250002,0,0,0,0.06845,0.008599998,0,0.02325,0,0,0,0.0105,0,0,0.06775,0.10215,0,0,0.141925,0.173025,0.257216667,0.00365,0,0.07085,0,0,0,0,0,0.006525,0.0123,0.027925,0.00045,0.014475,0.0252,0,0.00825,0.061475,0.034925,0.029075,0.021174998,0,0.0157,0,0,0.003875,0,0,0.126775,0.0426,0.1069,0,0,0.00295,0,0,0.088025,0,0.041,0,0,0,0,0,0,0.008475001,0,0.0652,0.001250001,0.01245,0,0,0,0.0303,0,0.011075,0,0.00675,0.215850001,0,0.089500002,0.034550002,0.060475,0.001150004,0,0.039024998,0,0.027424998,0,0,0.027224999,0.034475,0.079525001
Malonic acid,0.148225,0.100475,0.14315,0.17725,0.104425,0.078525,0.0239,0.10905,0.07335,0.187925,0.087825,0.176125,0.1965,0.2084,0.18915,0.086625,0,0,0.0973,0.05545,0.100125,0,0.062525,0,0.007425,0,0.1238,0,0.023975,0.064975001,0,0,0,0.080025,0.002675,0.073625,0.128825,0,0,0,0.00915,0.094275,0.00365,0.236075,0.270975,0.000799998,0.005775,0.057375,0,0,0.1895,0,0.019175,0.006,0.031775,0,0.08315,0.00165,0.0595,0.040775,0.037800001,0.022975,0.008925,0.007074999,0.0861,0.06435,0.120275,0.1348,0.120625,0.016849999,0.0139,0.070625,0.010975,0,0.028375,0,0,0.02175,0.003025,0.0236,0.008725,0,0.006225,0,0.05035,0.081375,0.10135,0.252675,0,0.019,0.090025,0.0689,0.042925,0.058375,0.021324995,0,0.0828,0.084750002,0.12085,0.032925,0.043675,0.04825,0.098075003,0.0583,0.149025,0.07295,0.0449,0.335149995,0.09485,0.134899999,0.119324997,0.0793,0.151874997,0,0.027749999,0.0722,0,0,0.021525,0.030600002,0.169625,0
Maltose,0,0,0.029225,0.00675,0.039575,0,0.038225002,0.00335,0,0.04925,0,0,0.044325,0.016375,0.045325,0.002225,0.733275,0.4906,0.3709,0,0.338825,0.580475,0.579375,0.7966,0.614625,0.3849,0.576625,0.29975,0.202608333,0.156075001,0.35505,0.446575,0.491025,0.181225,0.088525,0,0.261425,0.02435,0.0545,0.06765,0.097025,0.10415,0.0916,0.000575,0.62845,0.052500002,0.091075,0,0.066975,0.439375,0,0.0943,0.50725,0.577675,0.47565,0.319875001,0.133175,0.615650001,0.4875,0.6576,0.739550001,0.777625,0.8293,0.042925002,0.075300002,0.03975,0.55845,0.542175,0.534175,0.554074997,0.3545,0.1929,0.729425,0,0.142875,0.215625,0.0969,0.214025,0.4723,0.27615,0.3309,0.5153,0.066175,0.40195,0.196425,0.2424,0.280825,0.396575,0,0,0,0,0,0.5494,0.126649998,0,0.073025,0.005999997,0.4993,0.60165,0,0.049775,0.618424999,0,0.0169,0,0.1295,0.228924999,0.063975,0.29425,0.569950001,0.12045,0.610750001,0.632175,0,0.743675,0.661725001,0.314358333,0.19945,0.146175,0.132,0.278791673
Melibiose,0.0078,0.024975,0.0928,0.00105,0,0,0.05135,0.005725,0,0.04855,0.002075,0.001425,0.0215,0.036,0.024875,0.019525,0.6545,0.723375,0.3403,0,0.496975,0.33595,0.7432,0.759975,0.782475,0.44195,0.574425,0.219308333,0.097575,0.110850001,0.4999,0.42135,0.478075,0.129925,0.049525002,0,0.09375,0.00705,0.0255,0.0156,0.042325,0.017416667,0.04675,0.0578,0.25395,0.003224991,0.08745,0,0,0,0.027925,0,0.474925,0.5199,0.5031,0.019050001,0.027425,0.162050001,0.471625,0.579125,0.209100001,0.01725,0.149175,0.020925,0.0087,0.046875,0.578475,0.482925,0.4992,0.542874999,0.5064,0.047225,0.528575,0,0.044825,0.056825,0.10685,0.0804,0.032,0.27165,0.22015,0.625625,0.0259,0.159675,0.191675,0.143525,0.0251,0.0445,0,0.006425,0.0185,0.01975,0,0.55645,0.122999996,0.015375,0.106425,0.022775,0.507,0.538825,0.0167,0,0.771250003,0.0098,0.030175,0.007,0.0372,0.465525,0.07185,0.227941666,0.509475001,0.194475,0.534650002,0.230925,0,0.589725,0.427274998,0.0037,0.060325,0.027874999,0.108149999,0.505549986
Mucic Acid,0,0.001575,0.034125,0.003075,0.010475,0,0.041974998,0.0088,0,0.0127,0,0,0.02375,0.0084,0.0072,0,0,0,0.03185,0,0.003525,0,0,0,0.000525,0,0,0,0.011575,0.004225001,0,0.006275,0.0188,0,0.014750004,0,0.022825,0,0,0,0.00825,0,0,0,0.0377,0.008749999,0,0,0,0,0.007775,0,0.00885,0,0,0,0,0,0,0.0237,0.058624999,0.01325,0.011525,0.043475001,0.036799999,0.00665,0.07815,0.032025,0.021875,0.027625003,0,0.00605,0.01725,0,0.015,0.0133,0.29695,0.037275,0,0.042175,0,0.009825,0.012325,0,0,0.071475,0,0.043075,0,0,0,0,0,0.003975,0.029875003,0,0.091825,0.008675,0.03395,0,0,0,0.033199998,0,0,0,0.006525,0.097500001,0.0195,0.022925001,0.014974997,0.110425,0.0359,0,0.042025001,0,0,0,0.01365,0,0.059250001,0
