spe.ID	VOC_id	VOC_counts	VOC_name
ACH1	VOC_093	0	3-Ethyl-2,6,10-trimethylundecane
ACH1	VOC_094	0	3-Formyl-1-isopropyl-2(1H)-pyridone
ACH1	VOC_095	0	3-Heptanone, 2,4-dimethyl-
ACH1	VOC_096	0	3-Hepten-2-one, 5-methyl-
ACH1	VOC_097	0	3-Hexen-2-one, 3,4-dimethyl-, (E)-
ACH1	VOC_098	0	3-Isopropoxybenzoic acid, methyl ester
ACH1	VOC_099	0	3-Pentanol, 2,2-dimethyl-
ACH1	VOC_100	0	3-Pyridinesulfonic acid
ACH1	VOC_101	0	4,5,6,7-Tetrahydro-3-methylbenzofuran
ACH1	VOC_102	0	4-Cyclohexyl-1-butanol
ACH1	VOC_103	0	4-Cyclopentene-1,3-dione, 4-methoxy-5-methyl-
ACH1	VOC_104	0	4-Hexen-2-one, 3,4-dimethyl-
ACH1	VOC_105	0	4-Methoxy-3-buten-2-one
ACH1	VOC_106	0	4-Penten-2-one, 3-methyl-
ACH1	VOC_107	0	4-Pentenoic acid ethyl ester
ACH1	VOC_108	0	4-Phenylbut-3-ene-1-yne
ACH1	VOC_109	0	4-Propyl-2-hydroxycyclopent-2-en-1-one
ACH1	VOC_110	0	4-Pyrimidinamine, 2,6-difluoro-
ACH1	VOC_111	0	5,5-Dibutylnonane
ACH1	VOC_112	0	5-Isopropyl-2,8-dimethyl-9-oxatricyclo[4.4.0.0(2,8)]decan-7-one
ACH1	VOC_113	0	5-Methyl-4-hexene-1-yl acetate
ACH1	VOC_114	0	5-Methylhexane-2,4-dione, enol
ACH1	VOC_115	0	5-Nonanone, 2-methyl-
ACH1	VOC_116	0	6-Dodecanol
ACH1	VOC_117	0	9-Borabicyclo[3.3.1]nonan-9-amine, N-(2,2-dimethylpropylidene)-
ACH1	VOC_118	0	Acetaldehyde, bis(1-methylethyl)hydrazone
ACH1	VOC_119	0	Acetamide, 2-fluoro-
ACH1	VOC_120	0	Acetic acid, 1-methylcyclopentyl ester
ACH1	VOC_121	0	Acetic acid, 2-fluoroethyl ester
ACH1	VOC_122	0	Acetic acid, chloro-, 2-phenylethyl ester
ACH1	VOC_123	0	Acetic acid, chlorodifluoro-
ACH1	VOC_124	0	Acetic acid, methoxy-
ACH1	VOC_125	0	Acetic acid, oxo-, methyl ester
ACH1	VOC_126	0	Acetoin
ACH1	VOC_127	0	Acetonitrile,2-(methylimino)
ACH1	VOC_128	0	Acetyl chloride, chloro-
ACH1	VOC_129	0	Acetyl valeryl
ACH1	VOC_130	0	Adipic acid, 2,5-dimethylphenyl hexyl ester
ACH1	VOC_131	0	Alanine, N-methyl-N-isobutoxycarbonyl-, isobutyl ester
ACH1	VOC_132	0	Allyl n-octyl ether
ACH1	VOC_133	0	Ammonium acetate
ACH1	VOC_134	0	Aziridine, 1-propyl-
ACH1	VOC_135	0	Aziridine, 2-ethyl-
ACH1	VOC_136	0	Benzene, 1,3-bis(1,1-dimethylethyl)-2-methoxy-5-methyl-
ACH1	VOC_137	0	Benzene, 1-isocyano-2-methyl-
ACH1	VOC_138	0	Benzene, 1-isocyano-3-methyl-
ACH1	VOC_139	0	Benzene, 1-isocyano-4-methyl-
ACH1	VOC_140	0	Benzocyclodecene, tetradecahydro-
ACH1	VOC_141	0	Benzoic acid, 4-(acetyloxy)-, methyl ester
ACH1	VOC_142	0	Benzonitrile, 4-fluoro-
ACH1	VOC_143	0	Benzyl chloromethyl sulfide
ACH1	VOC_144	0	Borane, propadienediylidenetetrakis[difluoro-
ACH1	VOC_145	0	Boron, trihydro(pyridine)-, (T-4)-
ACH1	VOC_146	0	Butanal, 3,3-dimethyl-2-oxo-, hemihydrate
ACH1	VOC_147	0	Butanal, oxime
ACH1	VOC_148	0	Butanamide
ACH1	VOC_149	0	Butane, 1-(1-methylpropoxy)-
ACH1	VOC_150	0	Butane, 1-chloro-2-methyl-, (S)-
ACH1	VOC_151	0	Butane, 2-azido-2,3,3-trimethyl-
ACH1	VOC_152	0	Butanedinitrile, 2,3-diamino-2,3-dimethyl-
